frame,scenario,n_bacteria,n_phages
12,Hybrid,393,142
13,Hybrid,424,137
14,Hybrid,454,131
15,Hybrid,490,130
16,Hybrid,538,125
17,Hybrid,576,123
18,Hybrid,627,121
19,Hybrid,665,118
20,Hybrid,714,116
21,Hybrid,766,114
22,Hybrid,825,111
23,Hybrid,889,109
24,Hybrid,956,107
25,Hybrid,1026,102
26,Hybrid,1088,100
27,Hybrid,1155,96
28,Hybrid,1228,94
29,Hybrid,1301,93
30,Hybrid,1370,91
31,Hybrid,1447,89
32,Hybrid,1520,85
33,Hybrid,1596,84
34,Hybrid,1666,84
35,Hybrid,1751,84
36,Hybrid,1831,80
37,Hybrid,1906,78
38,Hybrid,1989,74
39,Hybrid,2069,73
40,Hybrid,2147,71
41,Hybrid,2219,71
42,Hybrid,2306,68
43,Hybrid,2398,68
44,Hybrid,2476,65
45,Hybrid,2563,61
46,Hybrid,2657,61
47,Hybrid,2757,60
48,Hybrid,2861,56
49,Hybrid,2976,51
50,Hybrid,3094,48
51,Hybrid,3206,47
52,Hybrid,3327,47
53,Hybrid,3429,42
54,Hybrid,3533,40
55,Hybrid,3635,39
56,Hybrid,3725,38
57,Hybrid,3829,37
58,Hybrid,3916,36
59,Hybrid,4008,36
60,Hybrid,4102,33
61,Hybrid,4176,31
62,Hybrid,4259,27
63,Hybrid,4333,26
64,Hybrid,4395,25
65,Hybrid,4449,25
66,Hybrid,4499,25
67,Hybrid,4550,25
68,Hybrid,4589,24
69,Hybrid,4631,23
70,Hybrid,4675,23
71,Hybrid,4718,23
72,Hybrid,4750,22
73,Hybrid,4784,22
74,Hybrid,4816,22
75,Hybrid,4847,21
76,Hybrid,4875,21
77,Hybrid,4911,21
78,Hybrid,4935,21
79,Hybrid,4957,19
80,Hybrid,4974,19
81,Hybrid,4989,18
82,Hybrid,5000,16
83,Hybrid,5007,16
84,Hybrid,5013,15
85,Hybrid,5015,14
86,Hybrid,5019,14
87,Hybrid,5020,13
88,Hybrid,5022,13
89,Hybrid,5022,12
90,Hybrid,5022,12
91,Hybrid,5022,12
92,Hybrid,5022,11
93,Hybrid,5025,11
94,Hybrid,5025,10
95,Hybrid,5025,9
96,Hybrid,5026,8
97,Hybrid,5027,8
98,Hybrid,5027,4
99,Hybrid,5029,4
100,Hybrid,5029,4
101,Hybrid,5029,4
102,Hybrid,5029,4
103,Hybrid,5029,3
104,Hybrid,5030,3
105,Hybrid,5031,2
106,Hybrid,5032,2
107,Hybrid,5034,2
108,Hybrid,5034,2
109,Hybrid,5034,2
110,Hybrid,5035,2
111,Hybrid,5035,1
112,Hybrid,5037,1
113,Hybrid,5037,1
114,Hybrid,5037,1
115,Hybrid,5037,1
116,Hybrid,5039,1
117,Hybrid,5039,1
118,Hybrid,5040,1
119,Hybrid,5040,1
